index, path, x, y, parent, type, sourceId, targetId, value
0, 0, 0, 379.8459689349113, 0, node, "EU" , "EU", 8083
0, 1, 190, 379.8459689349113, 0, node, "EU" , "EU", 8083
0, 2, 190, 755, 0, node, "EU" , "EU", 8083
0, 3, 0, 755, 0, node, "EU" , "EU", 8083
1, 0, 577, 0, 1, node, "EU Off. Supplies" , "EU Off. Supplies", 6583
1, 1, 767, 0, 1, node, "EU Off. Supplies" , "EU Off. Supplies", 6583
1, 2, 767, 305.5349482248521, 1, node, "EU Off. Supplies" , "EU Off. Supplies", 6583
1, 3, 577, 305.5349482248521, 1, node, "EU Off. Supplies" , "EU Off. Supplies", 6583
2, 0, 577, 689.3809171597634, 2, node, "EU Furniture" , "EU Furniture", 1500
2, 1, 767, 689.3809171597634, 2, node, "EU Furniture" , "EU Furniture", 1500
2, 2, 767, 759.0000000000005, 2, node, "EU Furniture" , "EU Furniture", 1500
2, 3, 577, 759.0000000000005, 2, node, "EU Furniture" , "EU Furniture", 1500
3, 0, 0, 0, 3, node, "US" , "US", 8141
3, 1, 190, 0, 3, node, "US" , "US", 8141
3, 2, 190, 377.84596893491124, 3, node, "US" , "US", 8141
3, 3, 0, 377.84596893491124, 3, node, "US" , "US", 8141
4, 0, 577, 307.5349482248521, 4, node, "US Off. Supplies" , "US Off. Supplies", 6021
4, 1, 767, 307.5349482248521, 4, node, "US Off. Supplies" , "US Off. Supplies", 6021
4, 2, 767, 586.9859467455622, 4, node, "US Off. Supplies" , "US Off. Supplies", 6021
4, 3, 577, 586.9859467455622, 4, node, "US Off. Supplies" , "US Off. Supplies", 6021
5, 0, 577, 588.9859467455622, 5, node, "US Furniture" , "US Furniture", 2120
5, 1, 767, 588.9859467455622, 5, node, "US Furniture" , "US Furniture", 2120
5, 2, 767, 687.3809171597634, 5, node, "US Furniture" , "US Furniture", 2120
5, 3, 577, 687.3809171597634, 5, node, "US Furniture" , "US Furniture", 2120
6, 0, 1154, 757.9707840236686, 6, node, "Tables" , "Tables", 410
6, 1, 1344, 757.9707840236686, 6, node, "Tables" , "Tables", 410
6, 2, 1344, 777, 6, node, "Tables" , "Tables", 410
6, 3, 1154, 777, 6, node, "Tables" , "Tables", 410
7, 0, 1154, 427.1997041420117, 7, node, "Furnishings" , "Furnishings", 1418
7, 1, 1344, 427.1997041420117, 7, node, "Furnishings" , "Furnishings", 1418
7, 2, 1344, 493.0129437869821, 7, node, "Furnishings" , "Furnishings", 1418
7, 3, 1154, 493.0129437869821, 7, node, "Furnishings" , "Furnishings", 1418
8, 0, 1154, 495.0129437869821, 8, node, "Chairs" , "Chairs", 1082
8, 1, 1344, 495.0129437869821, 8, node, "Chairs" , "Chairs", 1082
8, 2, 1344, 545.2315088757393, 8, node, "Chairs" , "Chairs", 1082
8, 3, 1154, 545.2315088757393, 8, node, "Chairs" , "Chairs", 1082
9, 0, 1154, 625.2598002958578, 9, node, "Bookcases" , "Bookcases", 710
9, 1, 1344, 625.2598002958578, 9, node, "Bookcases" , "Bookcases", 710
9, 2, 1344, 658.2128328402366, 9, node, "Bookcases" , "Bookcases", 710
9, 3, 1154, 658.2128328402366, 9, node, "Bookcases" , "Bookcases", 710
10, 0, 1154, 726.5915310650887, 10, node, "Supplies" , "Supplies", 633
10, 1, 1344, 726.5915310650887, 10, node, "Supplies" , "Supplies", 633
10, 2, 1344, 755.9707840236686, 10, node, "Supplies" , "Supplies", 633
10, 3, 1154, 755.9707840236686, 10, node, "Supplies" , "Supplies", 633
11, 0, 1154, 239.034023668639, 11, node, "Storage" , "Storage", 2155
11, 1, 1344, 239.034023668639, 11, node, "Storage" , "Storage", 2155
11, 2, 1344, 339.0534393491123, 11, node, "Storage" , "Storage", 2155
11, 3, 1154, 339.0534393491123, 11, node, "Storage" , "Storage", 2155
12, 0, 1154, 341.0534393491123, 12, node, "Paper" , "Paper", 1813
12, 1, 1344, 341.0534393491123, 12, node, "Paper" , "Paper", 1813
12, 2, 1344, 425.1997041420117, 12, node, "Paper" , "Paper", 1813
12, 3, 1154, 425.1997041420117, 12, node, "Paper" , "Paper", 1813
13, 0, 1154, 547.2315088757393, 13, node, "Labels" , "Labels", 818
13, 1, 1344, 547.2315088757393, 13, node, "Labels" , "Labels", 818
13, 2, 1344, 585.197115384615, 13, node, "Labels" , "Labels", 818
13, 3, 1154, 585.197115384615, 13, node, "Labels" , "Labels", 818
14, 0, 1154, 694.4696745562129, 14, node, "Fasteners" , "Fasteners", 649
14, 1, 1344, 694.4696745562129, 14, node, "Fasteners" , "Fasteners", 649
14, 2, 1344, 724.5915310650887, 14, node, "Fasteners" , "Fasteners", 649
14, 3, 1154, 724.5915310650887, 14, node, "Fasteners" , "Fasteners", 649
15, 0, 1154, 660.2128328402366, 15, node, "Envelopes" , "Envelopes", 695
15, 1, 1344, 660.2128328402366, 15, node, "Envelopes" , "Envelopes", 695
