index, path, x, y, parent, type, sourceId, targetId, value
0, 0, 0, 379.8459689349111, 0, node, "EU" , "EU", 8083
0, 1, 190, 379.8459689349111, 0, node, "EU" , "EU", 8083
0, 2, 190, 754.9999999999998, 0, node, "EU" , "EU", 8083
0, 3, 0, 754.9999999999998, 0, node, "EU" , "EU", 8083
1, 0, 577, 0, 1, node, "EU Office Supplies" , "EU Office Supplies", 6583
1, 1, 767, 0, 1, node, "EU Office Supplies" , "EU Office Supplies", 6583
1, 2, 767, 305.53494822485203, 1, node, "EU Office Supplies" , "EU Office Supplies", 6583
1, 3, 577, 305.53494822485203, 1, node, "EU Office Supplies" , "EU Office Supplies", 6583
2, 0, 577, 689.3809171597634, 2, node, "EU Furniture" , "EU Furniture", 1500
2, 1, 767, 689.3809171597634, 2, node, "EU Furniture" , "EU Furniture", 1500
2, 2, 767, 759, 2, node, "EU Furniture" , "EU Furniture", 1500
2, 3, 577, 759, 2, node, "EU Furniture" , "EU Furniture", 1500
3, 0, 0, 0, 3, node, "US" , "US", 8141
3, 1, 190, 0, 3, node, "US" , "US", 8141
3, 2, 190, 377.8459689349111, 3, node, "US" , "US", 8141
3, 3, 0, 377.8459689349111, 3, node, "US" , "US", 8141
4, 0, 577, 307.53494822485203, 4, node, "US Office Supplies" , "US Office Supplies", 6021
4, 1, 767, 307.53494822485203, 4, node, "US Office Supplies" , "US Office Supplies", 6021
4, 2, 767, 586.9859467455622, 4, node, "US Office Supplies" , "US Office Supplies", 6021
4, 3, 577, 586.9859467455622, 4, node, "US Office Supplies" , "US Office Supplies", 6021
5, 0, 577, 588.9859467455622, 5, node, "US Furniture" , "US Furniture", 2120
5, 1, 767, 588.9859467455622, 5, node, "US Furniture" , "US Furniture", 2120
5, 2, 767, 687.3809171597634, 5, node, "US Furniture" , "US Furniture", 2120
5, 3, 577, 687.3809171597634, 5, node, "US Furniture" , "US Furniture", 2120
6, 0, 1154, 757.9707840236688, 6, node, "Tables" , "Tables", 410
6, 1, 1344, 757.9707840236688, 6, node, "Tables" , "Tables", 410
6, 2, 1344, 777, 6, node, "Tables" , "Tables", 410
6, 3, 1154, 777, 6, node, "Tables" , "Tables", 410
7, 0, 1154, 427.1997041420118, 7, node, "Furnishings" , "Furnishings", 1418
7, 1, 1344, 427.1997041420118, 7, node, "Furnishings" , "Furnishings", 1418
7, 2, 1344, 493.0129437869821, 7, node, "Furnishings" , "Furnishings", 1418
7, 3, 1154, 493.0129437869821, 7, node, "Furnishings" , "Furnishings", 1418
8, 0, 1154, 495.0129437869821, 8, node, "Chairs" , "Chairs", 1082
8, 1, 1344, 495.0129437869821, 8, node, "Chairs" , "Chairs", 1082
8, 2, 1344, 545.2315088757393, 8, node, "Chairs" , "Chairs", 1082
8, 3, 1154, 545.2315088757393, 8, node, "Chairs" , "Chairs", 1082
9, 0, 1154, 625.2598002958581, 9, node, "Bookcases" , "Bookcases", 710
9, 1, 1344, 625.2598002958581, 9, node, "Bookcases" , "Bookcases", 710
9, 2, 1344, 658.2128328402368, 9, node, "Bookcases" , "Bookcases", 710
9, 3, 1154, 658.2128328402368, 9, node, "Bookcases" , "Bookcases", 710
10, 0, 1154, 726.5915310650889, 10, node, "Supplies" , "Supplies", 633
10, 1, 1344, 726.5915310650889, 10, node, "Supplies" , "Supplies", 633
10, 2, 1344, 755.9707840236688, 10, node, "Supplies" , "Supplies", 633
10, 3, 1154, 755.9707840236688, 10, node, "Supplies" , "Supplies", 633
11, 0, 1154, 239.03402366863912, 11, node, "Storage" , "Storage", 2155
11, 1, 1344, 239.03402366863912, 11, node, "Storage" , "Storage", 2155
11, 2, 1344, 339.05343934911247, 11, node, "Storage" , "Storage", 2155
11, 3, 1154, 339.05343934911247, 11, node, "Storage" , "Storage", 2155
12, 0, 1154, 341.05343934911247, 12, node, "Paper" , "Paper", 1813
12, 1, 1344, 341.05343934911247, 12, node, "Paper" , "Paper", 1813
12, 2, 1344, 425.1997041420118, 12, node, "Paper" , "Paper", 1813
12, 3, 1154, 425.1997041420118, 12, node, "Paper" , "Paper", 1813
13, 0, 1154, 547.2315088757393, 13, node, "Labels" , "Labels", 818
13, 1, 1344, 547.2315088757393, 13, node, "Labels" , "Labels", 818
13, 2, 1344, 585.197115384615, 13, node, "Labels" , "Labels", 818
13, 3, 1154, 585.197115384615, 13, node, "Labels" , "Labels", 818
14, 0, 1154, 694.4696745562131, 14, node, "Fasteners" , "Fasteners", 649
14, 1, 1344, 694.4696745562131, 14, node, "Fasteners" , "Fasteners", 649
14, 2, 1344, 724.5915310650889, 14, node, "Fasteners" , "Fasteners", 649
14, 3, 1154, 724.5915310650889, 14, node, "Fasteners" , "Fasteners", 649
15, 0, 1154, 660.2128328402368, 15, node, "Envelopes" , "Envelopes", 695
15, 1, 1344, 660.2128328402368, 15, node, "Envelopes" , "Envelopes", 695
15, 2, 1344, 692.4696745562131, 15, node, "Envelopes" , "Envelopes", 695
15, 3, 1154, 692.4696745562131, 15, node, "Envelopes" , "Envelopes", 695
16, 0, 1154, 0, 16, node, "Binders" , "Binders", 2835
16, 1, 1344, 0, 16, node, "Binders" , "Binders", 2835
16, 2, 1344, 131.58006656804736, 16, node, "Binders" , "Binders", 2835
16, 3, 1154, 131.58006656804736, 16, node, "Binders" , "Binders", 2835
17, 0, 1154, 133.58006656804736, 17, node, "Art" , "Art", 2229
17, 1, 1344, 133.58006656804736, 17, node, "Art" , "Art", 2229
17, 2, 1344, 237.03402366863912, 17, node, "Art" , "Art", 2229
17, 3, 1154, 237.03402366863912, 17, node, "Art" , "Art", 2229
18, 0, 1154, 587.197115384615, 18, node, "Appliances" , "Appliances", 777
18, 1, 1344, 587.197115384615, 18, node, "Appliances" , "Appliances", 777
18, 2, 1344, 623.2598002958576, 18, node, "Appliances" , "Appliances", 777
18, 3, 1154, 623.2598002958576, 18, node, "Appliances" , "Appliances", 777
0, 0, 190, 379.84596893491107, 0, link, EU, EU Office Supplies, 6583
0,56, 190, 685.3809171597632, 0, link, EU, EU Office Supplies, 6583
0, 1, 198.9300651550293, 379.5706594328907, 0, link, EU, EU Office Supplies, 6583
0,55, 198.9300651550293, 685.1056076577428, 0, link, EU, EU Office Supplies, 6583
0, 2, 215.97528457641602, 377.42034732237346, 0, link, EU, EU Office Supplies, 6583
0,54, 215.97528457641602, 682.9552955472255, 0, link, EU, EU Office Supplies, 6583
0, 3, 231.9930076599121, 373.25303086021233, 0, link, EU, EU Office Supplies, 6583
0,53, 231.9930076599121, 678.7879790850644, 0, link, EU, EU Office Supplies, 6583
0, 4, 247.05409622192383, 367.20781379479627, 0, link, EU, EU Office Supplies, 6583
0,52, 247.05409622192383, 672.7427620196484, 0, link, EU, EU Office Supplies, 6583
0, 5, 261.2294120788574, 359.4237998745143, 0, link, EU, EU Office Supplies, 6583
0,51, 261.2294120788574, 664.9587480993664, 0, link, EU, EU Office Supplies, 6583
0, 6, 274.58981704711914, 350.0400928477562, 0, link, EU, EU Office Supplies, 6583
0,50, 274.58981704711914, 655.5750410726083, 0, link, EU, EU Office Supplies, 6583
